star,Gaia DR3 ID,AllWISE ID,GALEX ID,ra,dec,distance,vsini,VSX Period,Av,fe_h,m_G,Gaia G flux_over_error,m_BP,Gaia BP flux_over_error,m_RP,Gaia RP flux_over_error,2MASS J,2MASS J error,2MASS H,2MASS H error,2MASS K,2MASS K error,WISE W1,WISE W1 error,WISE W2,WISE W2 error,WISE W3,WISE W3 error,WISE W4,WISE W4 error,GALEX FUV,GALEX FUV Error,GALEX NUV,GALEX NUV Error,Li Profile,H-alpha Profile,Ca II H Profile,Ca II K Profile,ALLWISE_ccf,ALLWISE_qph,leiner_class,updated_class
HR Cet,18910470421959808,J024236.23+071726.0,GALEX J024236.2+071726,40.65095558618673,7.290585245493459,506.3862911141522,,52.84,0.28,,8.409346,746.51624,9.2354555,193.07515,7.510871,230.17204,6.244,0.021,5.565,0.047,5.245,0.021,5.004,0.234,4.642,0.135,2.719,0.011,1.669,0.017,19.606800079345703,0.1267,16.569900512695312,0.01769999973475933,,,,,0000,BBAA,cut,-999
DG Ari,34148700855166720,J025521.06+153922.8,GALEX J025521.0+153923,43.83780066505116,15.656337721802666,796.0927283924646,,34.02,0.31,,10.65428,399.68048,11.333716,115.44541,9.84941,278.77017,8.904,0.046,8.22,0.047,8.061,0.018,7.946,0.026,8.015,0.021,7.907,0.022,7.797,0.211,21.556900024414062,0.3671,18.81760025024414,0.06889999657869339,,,,,0000,AAAB,RS,-999
CSS J032403.3+152821,54254958891842816,J032403.38+152821.1,GALEX J032403.3+152821,51.01410355127157,15.47253974991323,1472.8915722474003,,1.07,0.48,-0.4777,14.858748,266.46628,15.42184,76.83865,14.137844,103.00868,13.238,0.022,12.669,0.026,12.534,0.026,12.465,0.024,12.468,0.025,12.21,0.387,8.776,,,--,21.83769989013672,0.40560001134872437,,,,,0000,AACU,RS,SSG
ZTF J035347.19+235007.6,65719566637012992,J035347.19+235007.5,,58.44664614163716,23.83542417189985,1220.3011867091086,,3.88,0.42,-1.4311,14.168001,708.316,14.704685,228.09103,13.454412,237.6548,12.346,0.021,11.793,0.021,11.658,0.02,11.62,0.024,11.574,0.022,11.368,0.21,8.918,,,,,,,,,,0000,AABU,RS,SSG
[WM2007] 85,71640436752289408,J034736.79+280625.2,GALEX J034736.7+280625,56.90332442047046,28.10701870991814,1842.175344779815,,2.68,0.37,-0.3814,15.004778,241.51671,15.640956,67.421196,14.22789,87.206116,13.108,0.024,12.483,0.025,12.381,0.025,12.319,0.024,12.285,0.024,12.426,0.528,9.034,,,--,21.42569923400879,0.49900001287460327,,,,,0000,AACU,RS,SSG
ZTF J024245.02+161819.8,81709523719057536,J024245.01+161819.9,GALEX J024245.0+161820,40.68759334849107,16.305496512913244,1351.144096922206,,6.33,0.26,-0.5055,14.471627,249.56714,15.016265,77.809166,13.771362,83.05427,12.942,0.021,12.341,0.023,12.22,0.017,12.193,0.023,12.144,0.023,11.828,0.323,8.834,,,--,21.0802001953125,0.2273000031709671,,,,,0000,AABU,RS,SSG
ZTF J024731.34+171605.8,83339790224838784,J024731.34+171605.8,,41.88059999692063,17.268300455125537,873.4968667903837,,17.06,0.27,-0.1972,13.467905,504.08838,13.982082,124.87865,12.686893,146.92624,11.698,0.021,11.163,0.022,11.023,0.018,10.993,0.023,11.027,0.02,11.165,0.174,8.704,,,,,,,,,,0h00,AABU,RS,SSG
ZTF J025103.05+181249.5,83540210579216128,J025103.04+181249.3,,42.762736423881336,18.213725388984724,1676.2340494171262,,7.59,0.4,-0.3595,14.571105,339.07236,15.16605,99.456696,13.823861,123.65431,12.899,0.022,12.285,0.031,12.152,0.027,12.101,0.023,12.076,0.023,12.272,0.431,8.908,,,,,,,,,,0000,AACU,RS,SSG
CSS J024155.4+212754,88480659920272384,J024155.44+212754.5,,40.48102885387232,21.465145206309856,1655.076198672108,,3.65,0.44,-0.4395,14.69115,403.51285,15.296303,91.68432,13.938282,110.800964,13.031,0.03,12.386,0.035,12.247,0.02,12.226,0.023,12.206,0.023,11.809,,8.881,,,,,,,,,,0000,AAUU,RS,SSG
ZTF J014501.53+220645.6,98294935069481344,J014501.53+220645.5,GALEX J014501.7+220646,26.256412648906117,22.11264950238823,1451.2639973257697,,1.16,0.26,-0.4334,14.552032,590.29266,15.048642,173.06062,13.835389,217.2508,13.004,0.027,12.518,0.034,12.379,0.022,12.284,0.024,12.313,0.023,12.097,0.315,9.242,,,--,20.6387996673584,0.241799995303154,,,,,0000,AABU,cut,SSG
ZTF J015049.98+234731.1,99014050033715456,J015049.99+234731.0,GALEX J015049.9+234731,27.70830858500904,23.791956013712788,1572.681856875207,,24.59,0.33,,14.402518,546.7881,14.95536,174.37068,13.679481,212.74777,12.573,0.023,12.072,0.021,11.957,0.02,11.983,0.022,11.991,0.022,11.831,0.239,9.094,,,--,21.047800064086914,0.23420000076293945,,,,,0000,AABU,RS,-999
BK Ari,104747552200480256,J015935.58+234852.6,GALEX J015935.5+234852,29.898274929205545,23.81461810869168,506.8872439,,5.56,0.26,-1.4707,12.091827,430.35242,12.711226,58.364365,11.373419,75.32989,10.268,0.021,9.702,0.024,9.56,0.018,9.532,0.022,9.544,0.02,9.465,0.036,8.424,,21.99720001220703,0.3692,19.10300064086914,0.05050000175833702,,,,,0000,AAAU,RS,SSG
ZTF J020642.67+253155.3,105419839137199360,J020642.68+253155.3,,31.677830099851665,25.532028797336345,1279.5788379252572,,10.93,0.21,,14.118724,1284.3351,14.688123,194.01038,13.405693,387.22617,12.559,0.021,11.948,0.028,11.85,0.023,11.766,0.024,11.767,0.022,11.515,,8.438,,,,,,,,,,0000,AAUU,RS,-999
ZTF J020011.95+255028.4,105632766435603072,J020011.95+255028.3,GALEX J020011.9+255028,30.049806998655388,25.84120407483813,886.0268450548604,,13.87,0.26,-0.3445,13.254127,217.70937,13.793588,72.764404,12.551006,82.22828,11.552,0.022,10.982,0.02,10.869,0.018,10.741,0.023,10.745,0.021,10.67,0.085,9.234,,,--,19.643199920654297,0.08349999785423279,,,,,0000,AAAU,RS,SSG
ZTF J021028.44+282114.3,107501352087467904,J021028.45+282114.3,GALEX J021028.4+282115,32.61854831893716,28.35397308243828,1724.060196129482,,16.29,0.19,-0.1225,14.869945,465.49313,15.470162,126.82088,14.111479,133.43423,13.153,0.023,12.57,0.024,12.425,0.023,12.376,0.023,12.405,0.026,12.379,0.523,8.7,,,--,22.402599334716797,0.4377000033855438,,,,,0000,AACU,RS,SSG
ZTF J025246.52+272242.4,116312254157211904,J025246.52+272242.5,,43.193852386753335,27.378459802760315,1584.1163126894903,,14.92,0.37,-0.0426,15.043416,708.6968,15.606098,206.41798,14.330304,195.64557,13.444,0.024,12.909,0.024,12.841,0.023,12.72,0.024,12.737,0.026,11.991,0.346,8.949,,,,,,,,,,0000,AABU,RS,SSG
CSS J025922.3+283913,116862731528003456,J025922.35+283913.5,GALEX J025922.1+283913,44.84319961,28.653749312134902,1551.5113213522625,,1.03,0.43,-0.1047,14.097484,598.6693,14.699867,157.5615,13.36816,218.52182,12.431,0.019,11.883,0.016,11.773,0.02,11.669,0.024,11.688,0.023,11.477,0.213,8.67,,,--,21.548200607299805,0.3368000090122223,,,,,0000,AABU,RS,SSG
CE Tri,132377527788307200,J022529.14+304150.5,GALEX J022529.1+304151,36.37144135445574,30.69734951464733,553.590801,,5.1,0.24,-0.8476,11.243911,178.02983,11.757038,56.469208,10.549461,54.71218,9.575,0.023,8.94,0.024,8.812,0.02,8.757,0.023,8.738,0.021,8.619,0.026,8.852,0.491,21.121599197387695,0.2094,16.566099166870117,0.014600000344216824,,,,,0000,AAAC,cut,SSG
ZTF J023510.45+344050.0,134948873172378112,J023510.45+344050.0,GALEX J023510.5+344051,38.79358263187713,34.680562210514246,1440.1250009617931,,6.14,0.19,-0.1345,14.1819,301.94794,14.821293,79.337654,13.4134035,114.10262,12.396,0.021,11.76,0.024,11.62,0.02,11.541,0.023,11.534,0.022,11.314,0.166,8.891,,,--,21.792299270629883,0.4260999858379364,,,,,hh00,AABU,SSG,SSG
ZTF J025506.83+340101.8,136779147712330624,J025506.83+340101.8,,43.7784590006254,34.01716743617684,1697.8401279627426,,11.44,0.27,-0.2821,14.996784,296.62283,15.528442,81.58762,14.30668,115.87285,13.446,0.021,12.958,0.026,12.812,0.024,12.746,0.024,12.762,0.026,11.804,,8.994,0.54,,,,,,,,,0000,AAUC,RS,SSG
ZTF J031013.78+343336.7,137804438010183424,J031013.79+343336.6,GALEX J031013.7+343336,47.55746229432442,34.560201349180254,1663.6557703145988,,20.22,0.34,-0.2146,13.692106,483.5576,14.167344,145.4834,13.036135,162.89653,12.217,0.021,11.729,0.022,11.561,0.018,11.451,0.023,11.473,0.02,11.408,0.171,8.265,,,--,18.934600830078125,0.0812000036239624,,,,,0000,AABU,RS,SSG
ZTF J024900.29+334724.2,139724533205093248,J024900.27+334724.0,,42.25121019,33.790020521328685,1639.3580122355684,,1.11,0.25,-1.6488,16.094147,376.20715,16.701561,91.33406,15.331283,115.51648,14.287,0.028,13.706,0.033,13.51,0.033,13.436,0.026,13.404,0.031,12.208,,9.048,,,,,,,,,,0000,AAUU,SSG,SSG
ZTF J030044.26+370341.1,142092606373337728,J030044.25+370341.1,GALEX J030044.1+370341,45.18441989155537,37.06143223723209,1013.5345125306908,,17.1,0.32,,13.877181,269.1389,14.505027,80.81704,13.109886,99.25322,12.185,0.02,11.556,0.019,11.394,0.019,11.258,0.022,11.296,0.021,10.889,0.109,8.946,,,--,21.230100631713867,0.4104999899864197,,,,,0000,AABU,RS,-999
ZTF J025704.57+374527.2,142282203409545728,J025704.56+374527.1,,44.26908459834938,37.75754199599284,1576.3132890051363,,3.57,0.29,-0.19,14.105307,336.42172,14.703745,91.30305,13.353995,102.399635,12.331,0.026,11.714,0.024,11.579,0.024,11.354,0.023,11.366,0.022,11.376,0.18,9.105,,,,,,,,,,0h00,AABU,RS,SSG
ZTF J030554.64+372911.0,142439811529529856,J030554.64+372910.9,,46.47770916,37.48637224169556,1775.8621716801483,,12.35,0.5,-0.162,15.075676,608.7229,15.7009535,135.22704,14.313924,265.47238,13.321,0.023,12.744,0.024,12.599,0.021,12.482,0.041,12.535,0.025,12.212,,8.825,,,,,,,,,,0000,AAUU,RS,SSG
ZTF J030428.88+391018.3,142919713995622656,J030428.87+391018.2,,46.12034132433511,39.17174185098628,1628.072117362759,,1.23,0.33,-0.1096,13.724305,762.7495,14.20884,205.48589,13.07706,228.50311,12.27,0.022,11.831,0.026,11.725,0.023,11.655,0.023,11.676,0.021,11.818,0.273,9.109,,,,,,,,,,h000,AABU,RS,SSG
ZTF J025453.07+401337.3,143926935366385792,J025453.07+401337.3,GALEX J025453.0+401338,43.72116090259876,40.22702979784043,1603.4566201157052,,11.19,0.27,-0.0088,13.946555,426.38843,14.490312,126.86643,13.251465,157.93065,12.378,0.022,11.863,0.019,11.771,0.016,11.64,0.022,11.668,0.022,11.843,0.265,8.681,,,--,21.0841007232666,0.2897000014781952,,,,,0000,AABU,RS,SSG
ZTF J025742.34+404728.1,143968476290098688,J025742.34+404728.0,GALEX J025742.2+404729,44.42643301087537,40.79113124153276,1413.532680691717,,2.82,0.3,-0.1588,14.132895,308.94873,14.74202,89.02935,13.372243,103.509445,12.417,0.03,11.802,0.03,11.659,0.028,11.59,0.025,11.581,0.024,11.521,0.275,8.664,,,--,21.261600494384766,0.35010001063346863,,,,,0000,AABU,RS,SSG
ZTF J025924.81+405801.7,144055440787909760,J025924.81+405801.6,GALEX J025924.7+405801,44.853383443250216,40.967136217380826,1522.3765124031354,,4.88,0.33,-0.2538,13.20972,358.92276,13.668423,105.02034,12.578575,142.97163,11.784,0.02,11.372,0.022,11.262,0.022,11.16,0.024,11.172,0.021,11.008,0.121,8.821,,,--,19.335500717163086,0.10719999670982361,,,,,dd00,AABU,RS,SSG
ZTF J035621.50+352021.5,218967126495227520,J035621.51+352021.5,,59.089592778620506,35.339296746301905,1092.0476493081323,,3.31,0.44,-0.2496,14.01102,519.73816,14.826603,151.48262,13.117713,205.13078,11.89,0.024,11.171,0.021,10.951,0.02,10.76,0.023,10.708,0.022,10.551,0.087,8.699,,,,,,,,,,0000,AAAU,SSG,SSG
ZTF J032132.75+404033.9,236322127264797696,J032132.73+404033.8,,50.38647801534466,40.67609759099549,1355.707831986113,,1.2,0.43,0.1387,14.249374,423.0028,14.903082,120.534035,13.468466,132.77843,12.468,0.023,11.859,0.023,11.69,0.018,11.406,0.023,11.47,0.022,11.376,0.158,8.79,,,,,,,,,,dd00,AABU,RS,SSG
ZTF J032905.29+402440.1,236822851732043520,J032905.29+402440.1,,52.27206164403996,40.41113723892769,1114.4271371538457,,9.07,0.5,0.0316,13.946113,319.93704,14.610958,92.42087,13.15843,120.42953,12.039,0.022,11.445,0.021,11.29,0.02,11.263,0.023,11.272,0.021,11.322,0.2,8.145,,,,,,,,,,0000,AABU,RS,SSG
ZTF J031428.02+404910.8,238966555807400832,J031428.02+404910.8,,48.61677911443467,40.81966459500411,1488.920255992478,,11.15,0.4,-0.0578,13.7164955,380.4974,14.343319,103.81585,12.953337,116.689835,11.936,0.022,11.366,0.023,11.217,0.02,11.07,0.023,11.074,0.023,11.126,0.148,8.866,,,,,,,,,,0000,AABU,RS,SSG
ZTF J031438.22+414833.9,239593139997785856,J031438.21+414833.7,,48.65928921411231,41.8094086316236,1580.9553568323552,,16.18,0.42,-0.3738,15.04498,260.7848,15.854382,72.782616,14.161413,110.14926,12.547,0.02,11.877,0.023,11.696,0.022,11.645,0.025,11.601,0.022,11.444,0.186,8.995,,,,,,,,,,hh00,AABU,SSG,SSG
ZTF J030624.81+405354.6,239870285646809600,J030624.81+405354.8,,46.603395935580096,40.89851520296752,1571.2451748456258,,9.38,0.46,-0.6071,13.90187,437.86423,14.477113,148.79718,13.1587515,127.59063,11.779,0.022,11.195,0.021,11.07,0.019,11.051,0.117,11.034,0.021,10.836,0.11,8.546,,,,,,,,,,0000,BABU,RS,SSG
ZTF J030617.16+405826.0,239871419518155776,J030617.17+405825.8,,46.5715202484278,40.973880235006014,1893.3807645187244,,5.19,0.49,0.3767,15.680771,114.01592,16.415949,30.547403,14.828714,39.442043,13.758,0.027,13.123,0.024,12.949,0.025,12.716,0.024,12.714,0.025,12.447,0.485,8.815,,,,,,,,,,0000,AACU,SSG,SSG
ZTF J055509.57+584040.1,269822528574842624,J055509.55+584040.2,,88.78987123063048,58.67782856692611,1579.225043474496,,7.56,0.4,-0.1258,15.153428,399.28134,15.800842,103.44812,14.358806,117.9755,13.299,0.021,12.674,0.022,12.523,0.023,12.495,0.024,12.43,0.023,12.201,0.387,8.629,,,,,,,,,,0000,AACU,RS,SSG
ZTF J055813.86+590550.1,269860977121844608,J055813.88+590550.0,,89.55781733528389,59.09723939999252,1689.2610781674268,,9.24,0.37,-0.1578,14.806494,272.4684,15.434581,76.10735,14.0339365,98.42629,13.093,0.025,12.493,0.024,12.313,0.022,12.144,0.023,12.123,0.024,12.097,0.356,8.386,,,,,,,,,,0000,AABU,RS,SSG
ZTF J013443.74+224801.8,289315048668115584,J013443.74+224801.7,GALEX J013443.7+224802,23.682296421205148,22.80049276,1734.1469933635256,,2.34,0.29,-0.4863,13.075592,1304.7493,13.455751,544.6262,12.518091,391.0375,11.8,0.023,11.367,0.021,11.23,0.022,11.146,0.023,11.173,0.021,11.075,0.118,8.77,,22.279199600219727,0.3311,18.017499923706055,0.02370000071823597,,,,,0000,AABU,RS,RS
ZTF J012941.41+223314.4,289951867766346624,J012941.41+223314.3,GALEX J012941.4+223315,22.42260564640423,22.55400692420456,768.9220821347043,,4.64,0.21,-0.3044,12.806674,552.8828,13.285591,143.52217,12.126156,179.51772,11.218,0.026,10.787,0.034,10.656,0.024,10.563,0.023,10.569,0.02,10.5,0.075,9.35,,,--,19.05929946899414,0.06530000269412994,,,,,0000,AAAU,RS,SSG
ZTF J014520.28+243937.0,291388517144516736,J014520.29+243937.0,GALEX J014520.3+243937,26.33454872141414,24.660261987455872,1091.9817416217331,,10.47,0.27,-0.278,12.950889,822.7253,13.399733,248.16968,12.333908,279.38974,11.552,0.022,11.101,0.022,10.991,0.02,10.928,0.023,10.957,0.02,10.867,0.089,9.106,,,--,18.72089958190918,0.051600001752376556,,,,,0000,AAAU,RS,SSG
HR Psc,292071455599507456,J013627.81+250835.4,GALEX J013627.7+250835,24.115887668124596,25.143127799763693,218.84259597691243,24.63,3.93,0.26,-0.3501,10.079236,328.50607,10.79165,110.356125,9.259404,131.76997,8.326,0.029,7.664,0.031,7.459,0.021,7.174,0.036,7.161,0.02,7.057,0.016,6.899,0.077,19.543899536132812,0.0847,17.31329917907715,0.017400000244379044,Yes,Emission,Normal Emission,Normal Emission,0000,AAAA,SSG,SSG
CSS J012354.1+234255,293321802183315584,J012354.17+234255.1,GALEX J012354.1+234254,20.975721260707285,23.71537202645105,913.8867355643608,,4.52,0.2,0.0744,13.501377,160.07655,14.044191,40.7915,12.550528,45.76211,11.396,0.019,10.728,0.021,10.593,0.018,10.497,0.022,10.486,0.021,10.319,0.062,8.438,,,--,19.858299255371094,0.09200000017881393,,,,,0000,AAAU,SSG,SSG
GZ Psc,293812978938542592,J012139.27+251747.2,GALEX J012139.2+251747,20.413638293686063,25.296445339366997,735.3363059493581,,12.99,0.25,,9.262263,843.0789,9.959974,281.9231,8.453365,293.04047,7.427,0.02,6.782,0.026,6.586,0.021,6.455,0.073,6.473,0.024,6.437,0.016,6.318,0.052,20.633899688720703,0.1921,17.27519989013672,0.01640000008046627,,,,,hh00,AAAA,RS,-999
ZTF J013551.33+274231.0,295998120859979008,J013551.33+274231.0,,23.963910056682447,27.70861103370895,1553.043083834065,,16.84,0.23,-0.0094,14.554413,621.43304,15.1443205,168.30339,13.81052,168.27515,12.809,0.024,12.249,0.03,12.133,0.024,12.142,0.022,12.167,0.023,11.937,0.251,9.068,,,,,,,,,,0000,AABU,RS,SSG
CSS J020202.8+274204,299561191369018624,J020202.85+274204.3,GALEX J020202.8+274205,30.511906410113408,27.7011969707084,1403.628091495865,,71.28,0.17,,13.134493,357.74823,13.718535,105.365234,12.402423,135.32007,11.568,0.023,10.97,0.023,10.836,0.02,10.708,0.022,10.763,0.022,10.71,0.114,8.506,,,--,21.323200225830078,0.20149999856948853,,,,,0000,AABU,RS,-999
GSC 01764-01367,300027483083207296,J020418.72+293551.4,GALEX J020418.7+293551,31.07801500264208,29.59760344653795,744.3639178631511,,28.7,0.14,,12.124837,4562.022,12.611382,1097.6464,11.4773035,2584.0403,10.66,0.022,10.219,0.021,10.109,0.019,10.052,0.022,10.128,0.02,10.024,0.058,8.338,,,--,19.893299102783203,0.09759999811649323,,,,,0000,AAAU,RS,-999
CSS J013749.2+292133,302917897289491968,J013749.25+292133.3,GALEX J013749.2+292134,24.455217241824258,29.35921558842956,1222.1207266628508,,0.16,0.14,0.0501,13.243844,7381.7905,13.752926,1654.6667,12.580298,2157.18,11.751,0.022,11.243,0.032,11.134,0.02,11.08,0.023,11.147,0.02,10.976,0.104,9.362,0.517,,--,20.911100387573242,0.17080000042915344,,,,,0000,AAAC,RS,RS
CSS J015645.8+323602,304874684389709696,J015645.92+323601.6,GALEX J015645.8+323558,29.191377719889758,32.60045393251566,1859.0876328890008,,2.15,0.14,-0.2206,15.902084,166.28958,16.657114,68.280464,15.019375,60.133495,13.543,0.026,12.865,0.032,12.671,0.019,12.681,0.024,12.637,0.026,12.412,0.538,8.485,,,--,22.603900909423828,0.4023999869823456,,,,,0000,AACU,SSG,SSG
ZTF J010532.48+255930.9,306586177317208064,J010532.48+255930.9,GALEX J010532.4+255931,16.385369973087435,25.991911238886463,1666.909151667753,,10.1,0.21,-0.1424,13.80786,459.6201,14.4124775,130.51407,13.057585,170.13057,12.008,0.021,11.4,0.022,11.28,0.02,11.29,0.022,11.261,0.02,11.337,0.146,9.144,,,--,20.820499420166016,0.10379999876022339,,,,,0000,AABU,RS,SSG
ZTF J010958.97+263546.7,306713686306257280,J010958.97+263546.7,GALEX J010958.9+263544,17.49571703851453,26.59630486959725,1770.080101174693,,7.64,0.2,-0.4556,15.12132,689.6043,15.634414,133.58731,14.444343,201.55165,13.467,0.024,12.981,0.025,12.885,0.025,12.91,0.024,12.904,0.025,12.578,0.415,9.091,,,--,21.476900100708008,0.34200000762939453,,,,,0000,AACU,RS,SSG
ZTF J010458.35+265629.7,307525881801872896,J010458.34+265629.8,,16.24314400801906,26.941588910560256,1339.358836338175,,16.9,0.22,-0.5949,14.899554,604.8353,15.482209,143.28307,14.141292,148.59663,13.2,0.023,12.616,0.024,12.491,0.023,12.494,0.023,12.461,0.024,12.154,0.28,9.246,,,,,,,,,,0000,AABU,cut,SSG
CSS J010707.4+273628,307953935422377216,J010707.40+273629.0,GALEX J010707.4+273631,16.780856193171758,27.608054578711293,1586.951482942029,,10.14,0.16,-0.3916,14.731172,590.86584,15.275013,181.16783,14.026221,235.98328,13.142,0.024,12.64,0.022,12.454,0.026,12.453,0.023,12.421,0.023,12.421,0.369,9.22,,,--,22.12070083618164,0.435699999332428,,,,,0000,AACU,RS,SSG
ZTF J012101.11+294516.8,309366155029176320,J012101.12+294516.9,,20.25469700124693,29.754690436535515,1830.5245862717384,,1.82,0.2,-0.32,14.92478,775.1395,15.447867,181.5255,14.239732,260.7438,13.476,0.024,12.935,0.026,12.79,0.028,12.739,0.023,12.762,0.025,12.574,0.38,9.169,,,,,,,,,,0000,AACU,RS,SSG
CSS J011221.9+294955,309942054308852224,J011221.96+294955.5,,18.09151515104274,29.83212958360922,1250.0110431676023,,1.7,0.18,-0.3711,14.534878,325.34064,15.070581,92.11201,13.834418,108.11584,12.999,0.024,12.464,0.029,12.322,0.025,12.136,0.023,12.162,0.022,12.098,0.264,8.822,,,,,,,,,,0000,AABU,RS,SSG
V0507 And,312280857275073536,J004705.41+301824.0,GALEX J004705.4+301824,11.772547333473758,30.306632367420427,394.6091946104704,,12.46,0.18,,10.83819,771.45013,11.296035,294.2587,10.199827,242.51622,9.214,0.022,8.721,0.018,8.535,0.017,8.639,0.023,8.619,0.021,8.508,0.024,8.421,,21.226200103759766,0.411,16.798200607299805,0.031099999323487282,,,,,0000,AAAU,RS,-999
CSS J010007.3+311909,312632941514507776,J010007.38+311909.5,GALEX J010007.3+311910,15.03079409597986,31.31931224385947,1059.0689371602002,,15.43,0.18,-0.13,13.6144,333.05426,14.178787,97.23863,12.900392,126.75318,12.025,0.024,11.439,0.033,11.321,0.019,11.195,0.022,11.203,0.02,10.899,0.085,8.812,,,--,20.997600555419922,0.20730000734329224,,,,,0000,AAAU,RS,SSG
ZTF J005638.31+313643.4,312863495359022720,J005638.32+313643.3,GALEX J005638.2+313643,14.159667925278278,31.612042693326472,1946.1536212465803,,2.95,0.17,,12.978005,684.1631,13.2132845,223.75621,12.584318,193.92003,11.981,0.021,11.625,0.022,11.527,0.021,11.515,0.023,11.518,0.021,11.342,0.135,8.932,,19.389299392700195,0.1327,16.38960075378418,0.02199999988079071,,,,,0000,AABU,RS,-999
ZTF J010453.07+311455.2,313311855584792832,J010453.06+311455.1,,16.221157179674858,31.24865148760282,1359.782732831922,,0.93,0.16,0.0087,14.272667,703.47485,14.768216,145.90152,13.612403,262.36118,12.754,0.022,12.235,0.023,12.166,0.019,12.165,0.022,12.182,0.024,12.279,0.301,8.632,,,,,,,,,,0000,AABU,RS,RS
ZTF J010110.96+314354.9,314145835154465920,J010110.95+314354.8,,15.295673085688748,31.73190340329989,1303.6128617004438,,1.09,0.18,-0.1857,13.368575,488.03223,13.841497,146.67105,12.726023,167.10757,11.936,0.023,11.422,0.027,11.286,0.019,11.221,0.022,11.241,0.021,11.215,0.125,9.421,,,,,,,,,,0000,AABU,RS,RS
ZTF J012602.39+334114.5,316865099208797952,J012602.40+334114.5,GALEX J012602.4+334114,21.509989855539125,33.687355607707374,1020.0753421127416,,13.68,0.16,,13.5467825,570.0087,14.030429,178.57405,12.892234,185.02998,11.991,0.021,11.484,0.022,11.358,0.017,11.283,0.023,11.299,0.021,11.176,0.128,9.331,,,--,19.715599060058594,0.07739999890327454,,,,,0000,AABU,RS,-999
ZTF J013015.49+353653.4,317502369276242688,J013015.50+353653.4,GALEX J013015.5+353654,22.564594978160017,35.61484320782882,1198.327840852648,,1.04,0.13,-0.1823,14.009544,652.0307,14.51372,202.40614,13.343989,246.5499,12.611,0.023,12.11,0.022,11.953,0.019,11.854,0.024,11.893,0.021,11.619,0.148,9.095,,,--,21.011499404907227,0.12479999661445618,,,,,0000,AABU,RS,SSG
V0535 And,322950792990140672,J013147.21+384803.2,,22.94675988488766,38.80087225827852,450.7524079849188,,8.77,0.15,-0.0489,10.838518,666.2697,11.447217,180.029,10.087681,231.50467,9.204,0.022,8.625,0.024,8.431,0.024,8.312,0.024,8.333,0.02,8.23,0.02,8.167,0.182,,,,,,,,,0000,AAAB,RS,SSG
GSC 02818-00259,323872699129941120,J013423.48+395340.2,,23.59786247707869,39.89452533032748,1274.040033655764,,12.58,0.18,-0.2428,12.398722,501.77554,12.947702,157.71843,11.696556,171.45952,10.813,0.021,10.253,0.021,10.127,0.018,10.008,0.023,10.074,0.021,9.931,0.039,9.268,,,,,,,,,,0000,AAAU,RS,SSG
CSS J021215.0+312123,324575527577767680,J021215.01+312122.8,GALEX J021214.9+312123,33.06256841372984,31.35635762688352,1531.6781478532737,,14.5,0.22,0.108,14.6042,361.6032,15.217502,101.21491,13.86704,114.96493,12.96,0.023,12.395,0.021,12.221,0.021,12.116,0.023,12.155,0.023,11.686,0.184,9.2,,,--,22.735700607299805,0.45170000195503235,,,,,0000,AABU,RS,SSG
CSS J021559.5+314722,324694412272480128,J021559.54+314722.3,,33.99810512530612,31.789515282117332,1696.3622420096194,,5.08,0.23,-0.1917,15.182803,735.8271,15.867278,138.46019,14.370389,299.7707,13.179,0.022,12.553,0.022,12.38,0.023,12.378,0.023,12.353,0.023,12.261,0.32,9.338,,,,,,,,,,0000,AABU,SSG,SSG
CSS J020424.0+325248,325762381660194944,J020424.06+325248.4,,31.10031115110559,32.880178759850864,1203.8217100119916,,15.72,0.21,-0.1601,14.319356,220.51115,14.94677,65.84057,13.539694,73.260544,12.416,0.025,11.851,0.024,11.735,0.023,11.669,0.023,11.68,0.022,11.526,0.201,8.891,,,,,,,,,,0000,AABU,SSG,SSG
CG Tri,326753999413912192,J022708.45+342320.4,GALEX J022708.4+342320,36.78530116335602,34.38898042633544,350.0381086240984,48.36,3.11,0.19,-0.3027,11.477059,252.3875,12.060361,69.91107,10.7212715,112.03937,9.717,0.023,9.145,0.023,8.994,0.02,8.923,0.023,8.904,0.02,8.767,0.028,8.398,0.313,21.52560043334961,0.4139,18.247400283813477,0.049800001084804535,No,Variable H-alpha,Normal Emission,Normal Emission,0000,AAAB,RS,SSG
BY Tri,326868765236052992,J022133.30+340445.0,,35.38880000605015,34.079147283123845,204.28886604096556,,3.62,0.23,-0.1092,9.623117,396.3899,10.039456,124.386444,9.025792,136.54562,8.28,0.019,7.926,0.021,7.806,0.023,7.737,0.027,7.783,0.02,7.716,0.02,7.679,0.174,,,,,No,Absorption,No RV Data,Too Little Data,0000,AAAB,RS,RS
ZTF J020047.82+355425.2,330141908272815232,J020047.82+355425.3,,30.19929460997198,35.90701828878631,1837.505857923964,,12.33,0.27,-0.7667,14.92036,486.22205,15.425355,143.29808,14.240465,176.30835,13.218,0.023,12.715,0.023,12.588,0.026,12.552,0.023,12.525,0.025,12.289,0.302,9.101,,,,,,,,,,0000,AABU,RS,SSG
